\fixlen = T
\RowsRetrieved = 57
\ORIGIN = 'IPAC Infrared Science Archive (IRSA), Caltech/JPL'
\DATETIME = '2017-04-24 13:43:48'
\DataTag = 'ADS/.Gator'
\DATABASE = 'NEOWISE-R Public Single Exposure (L1b) Source Table (neowiser_q1bs_psd)'
\EQUINOX = 'J2000'
\SKYAREA = 'within 3 arcsec of  ra=237.82080 dec=-15.75092 Eq J2000 '
\StatusFile = '/workspace/TMP_f1MxKG_27365/Gator/irsa/1802/log.1802.html'
\SQL = 'SELECT (19 column names follow in next row.)'
\source = /hydra/workarea/irsaviewer/temp_files/IpacTableFromSource6371654060807242007.tbl
\sortInfo = ASC,mjd
\ 
\ 
\ ra (deg)
\ ___ right ascension (J2000)
\ dec (deg)
\ ___ declination (J2000)
\ frame_num
\ ___ frame number
\ scan_id
\ ___ scan ID
\ src
\ ___ source number in frame
\ w1mpro (mag)
\ ___ instrumental profile-fit photometry magnitude, band 1
\ w1sigmpro (mag)
\ ___ instrumental profile-fit photometry flux uncertainty in mag units, band 1
\ w1rchi2
\ ___ instrumental profile-fit photometry reduced chi^2, band 1
\ w2mpro (mag)
\ ___ instrumental profile-fit photometry magnitude, band 2
\ w2sigmpro (mag)
\ ___ instrumental profile-fit photometry flux uncertainty in mag units, band 2
\ w2rchi2
\ ___ instrumental profile-fit photometry reduced chi^2, band 2
\ nb
\ ___ number of blend components used in each fit
\ cc_flags
\ ___ prioritized artifacts affecting the source in each band
\ qual_frame
\ ___ quality score value for frame
\ saa_sep (deg)
\ ___ distance from frame center to SAA boundary
\ moon_masked
\ ___ flag (0/1) indicating whether frame is within the moon-mask area in each band
\ mjd (mjdate)
\ ___ modified Julian date of the mid-point of the observation of the frame
\ dist (arcsec)
\ ___ Distance between the target position and each source in arcsec.
\ angle (deg)
\ ___ Position Angle in degree.
\ 
\
|ra          |dec         |frame_num |scan_id |src    |w1mpro  |w1sigmpro |w1rchi2    |w2mpro  |w2sigmpro |w2rchi2    |nb   |cc_flags |qual_frame |saa_sep |moon_masked |mjd            |dist           |angle       |ROWID                         |
|double      |double      |int       |char    |int    |double  |double    |double     |double  |double    |double     |i    |char     |int        |double  |char        |double         |double         |double      |int                           |
|deg         |deg         |          |        |       |mag     |mag       |           |mag     |mag       |           |     |         |           |deg     |            |mjdate         |arcsec         |deg         |                              |
|null        |null        |null      |null    |null   |null    |null      |null       |null    |null      |null       |null |null     |null       |null    |null        |null           |null           |null        |                              |
  237.8207779  -15.7511265        140   57353b      39   10.007      0.016   1.860e+00    9.999      0.016   2.224e+00     1      0000          10   30.243           00  57072.09870856        0.747330   185.880904                             22 
  237.8207630  -15.7511245        115   57356a      30   10.035      0.017   1.998e+00   10.082      0.016   1.241e+00     1      0000          10   12.645           00  57072.16428772        0.747280   189.878161                             34 
  237.8207689  -15.7511402        116   57356a      37   10.094      0.018   1.385e+00   10.074      0.017   1.821e+00     1      0000          10   12.163           00  57072.16441503        0.800012   187.740876                             21 
  237.8207655  -15.7511407        116   57368a      35    9.971      0.016   1.092e+00   10.007      0.017   2.120e+00     1      0000          10   27.705           00  57072.55852701        0.803465   188.556031                             35 
  237.8207887  -15.7511442         64   62687a      29    9.948      0.015   8.812e-01    9.942      0.019   1.449e+00     1      0000          10   37.028           00  57247.10760091        0.808067   182.777175                             50 
  237.8207751  -15.7511414        153   62690a      42   10.009      0.015   1.394e+00   10.010      0.016   9.795e-01     1      0000          10   78.212           00  57247.23875889        0.801693   186.177815                             23 
  237.8208015  -15.7511502        153   62694a      32   10.162      0.017   7.955e-01   10.146      0.016   1.108e+00     1      0000          10  107.064           00  57247.36991749        0.828735   179.640680                              7 
  237.8207804  -15.7511286        154   62694a      40   10.149      0.018   1.858e+00   10.138      0.018   2.004e+00     1      0000          10  107.390           00  57247.37004485        0.754025   185.167290                             24 
  237.8207946  -15.7511262        130   62697a      39   10.243      0.019   5.616e-01   10.218      0.020   1.297e+00     1      0000          10   88.115           00  57247.43562382        0.742556   181.443823                             37 
  237.8207638  -15.7511475         64   62699a      39    9.995      0.014   8.743e-01   10.007      0.017   1.119e+00     1      0000          10   67.673           00  57247.50120282        0.828546   188.706962                              8 
  237.8207934  -15.7511570        129   62701a      31    9.972      0.015   1.712e+00    9.969      0.018   1.304e+00     1      0000          10   46.661           00  57247.56678184        0.853505   181.535297                              6 
  237.8207973  -15.7511696        153   62702a      38    9.946      0.014   1.124e+00   10.001      0.016   9.062e-01     1      0000          10   25.865           00  57247.63236086        0.898607   180.596491                             49 
  237.8207765  -15.7511580        129   62705a      35    9.964      0.015   9.937e-01    9.939      0.016   1.044e+00     1      0000          10    9.732           00  57247.69793986        0.860659   185.428618                             36 
  237.8207847  -15.7511406        138   68437b      31    9.992      0.018   7.717e-01    9.993      0.016   9.578e-01     1      0000          10   60.510           00  57435.67637753        0.795928   183.818940                             53 
